"","1:length(ImmuneSeuratObject@meta.data$nFeature_RNA)","CellID","CellType"
"689",689,"SRR10797595","Tcell"
"690",690,"SRR10797610","Tcell"
"691",691,"SRR10797630","Tcell"
"692",692,"SRR10797670","Macrophage"
"693",693,"SRR10797680","Bcell_PB"
"694",694,"SRR10797685","Macrophage"
"695",695,"SRR10797730","Macrophage"
"696",696,"SRR10797735","Macrophage"
"697",697,"SRR10797750","Bcell_Mem"
"698",698,"SRR10797765","Tcell"
"699",699,"SRR10797770","Tcell"
"700",700,"SRR10797775","Tcell"
"701",701,"SRR10797780","Macrophage"
"702",702,"SRR10797785","Tcell"
"703",703,"SRR10797810","Bcell_PB"
"704",704,"SRR10797815","pDCs"
"705",705,"SRR10797820","Macrophage"
"706",706,"SRR10797825","Bcell_PB"
"707",707,"SRR10797835","Bcell_PB"
"708",708,"SRR10797860","Macrophage"
"709",709,"SRR10797905","Macrophage"
"710",710,"SRR10797970","Tcell"
"711",711,"SRR10797980","Dendritic"
"712",712,"SRR10797985","Bcell"
"713",713,"SRR10798015","Tcell"
"714",714,"SRR10798020","Dendritic"
"715",715,"SRR10798025","Tcell"
"716",716,"SRR10798040","Tcell"
"717",717,"SRR10798055","Macrophage"
"718",718,"SRR10798085","Macrophage"
"719",719,"SRR10798120","Tcell"
"720",720,"SRR10798180","Tcell"
"721",721,"SRR10798195","Tcell"
"722",722,"SRR10798200","Bcell_PB"
"723",723,"SRR10798240","Tcell"
"724",724,"SRR10798250","Tcell"
"725",725,"SRR10798255","Tcell"
"726",726,"SRR10798330","Tcell"
"727",727,"SRR10798335","Bcell_PB"
"728",728,"SRR10798340","Macrophage"
"729",729,"SRR10798380","Macrophage"
"730",730,"SRR10798420","Bcell_PB"
"731",731,"SRR10798470","Dendritic"
"732",732,"SRR10798475","Tcell"
"733",733,"SRR10798485","Bcell_PB"
"734",734,"SRR10798525","Macrophage"
"735",735,"SRR10798530","Bcell_PB"
"736",736,"SRR10798580","Bcell_PB"
"737",737,"SRR10798605","Bcell_PB"
"738",738,"SRR10798620","Bcell"
"739",739,"SRR10798630","Tcell"
"740",740,"SRR11618600","Macrophage"
"741",741,"SRR11618685","Bcell_Mem"
"742",742,"SRR11618700","Tcell"
"743",743,"SRR11618725","Tcell"
"744",744,"SRR11618730","Bcell_PB"
"745",745,"SRR11618750","Tcell"
"746",746,"SRR11618765","Bcell_Mem"
"747",747,"SRR11618770","Macrophage"
"748",748,"SRR11618800","Tcell"
"749",749,"SRR11618805","Bcell_PB"
"750",750,"SRR11618810","Tcell"
"751",751,"SRR11618820","Bcell_PB"
"752",752,"SRR11618825","Tcell"
"753",753,"SRR11618845","Bcell_PB"
"754",754,"SRR11618850","Tcell"
"755",755,"SRR11618855","Bcell_Mem"
"756",756,"SRR11618885","Tcell"
"757",757,"SRR11618905","Bcell_PB"
"758",758,"SRR11618940","Bcell_PB"
"759",759,"SRR11618960","Bcell_PB"
"760",760,"SRR11618975","Bcell_PB"
"761",761,"SRR11618980","Bcell_PB"
"762",762,"SRR11619010","Macrophage"
"763",763,"SRR11619020","Tcell"
"764",764,"SRR11619030","Bcell_PB"
"765",765,"SRR11619045","Tcell"
"766",766,"SRR11619065","Bcell_PB"
"767",767,"SRR11619075","Bcell_Mem"
"768",768,"SRR11619085","Bcell_PB"
"769",769,"SRR11619090","Tcell"
"770",770,"SRR11619100","Bcell_Mem"
"771",771,"SRR11619130","pDCs"
"772",772,"SRR11619150","Bcell_PB"
"773",773,"SRR11619155","Tcell"
"774",774,"SRR11619160","Tcell"
"775",775,"SRR11619170","Bcell_PB"
"776",776,"SRR11619190","Bcell_PB"
"777",777,"SRR11619210","Bcell_PB"
"778",778,"SRR11619215","Tcell"
"779",779,"SRR11619220","Tcell"
"780",780,"SRR11619260","Bcell_PB"
"781",781,"SRR11619270","Tcell"
"782",782,"SRR11619275","Tcell"
"783",783,"SRR11619280","Bcell_Mem"
"784",784,"SRR11619325","Tcell"
"785",785,"SRR11619330","Bcell_PB"
"786",786,"SRR11619375","Bcell_PB"
"787",787,"SRR11619380","Bcell_Mem"
"788",788,"SRR11619420","Bcell_Mem"
"789",789,"SRR11619435","Bcell_Mem"
"790",790,"SRR11619450","Tcell"
"791",791,"SRR11619455","Tcell"
"792",792,"SRR11619470","Tcell"
"793",793,"SRR11619490","Bcell_PB"
"794",794,"SRR11619535","Bcell_PB"
"795",795,"SRR11619555","Bcell_PB"
"796",796,"SRR11619560","Tcell"
"797",797,"SRR11619570","Tcell"
"798",798,"SRR11619590","Mast"
"799",799,"SRR11619605","Tcell"
"800",800,"SRR11619610","Tcell"
"801",801,"SRR11619620","Bcell_PB"
"802",802,"SRR11619640","Bcell_PB"
"803",803,"SRR11619665","Macrophage"
"804",804,"SRR11619695","Bcell_PB"
"805",805,"SRR11619710","Bcell_PB"
"806",806,"SRR11619715","Mast"
"807",807,"SRR11619720","Bcell_PB"
"808",808,"SRR11619730","Bcell_PB"
"809",809,"SRR11619735","Bcell"
"810",810,"SRR11619750","Tcell"
"811",811,"SRR11619770","Macrophage"
"812",812,"SRR11619775","Bcell_Mem"
"813",813,"SRR11619780","Tcell"
"814",814,"SRR11619785","Bcell_Mem"
"815",815,"SRR11619805","Tcell"
"816",816,"SRR11619810","Macrophage"
"817",817,"SRR11619815","Bcell_PB"
"818",818,"SRR11619820","Bcell_PB"
"819",819,"SRR11619825","Bcell_PB"
"820",820,"SRR11619870","Dendritic"
"821",821,"SRR11619875","Tcell"
"822",822,"SRR11619895","Bcell_PB"
"823",823,"SRR11619905","Bcell_Mem"
"824",824,"SRR11619920","Tcell"
"825",825,"SRR11619935","Bcell"
"826",826,"SRR11619960","Tcell"
"827",827,"SRR11620005","Tcell"
"828",828,"SRR11620045","Bcell_PB"
"829",829,"SRR11620055","Bcell_PB"
"830",830,"SRR11620090","Macrophage"
"831",831,"SRR11620105","Tcell"
"832",832,"SRR11620135","Tcell"
"833",833,"SRR11620145","Neutrophils"
"834",834,"SRR11620150","Bcell_PB"
"835",835,"SRR11620160","Neutrophils"
"836",836,"SRR11620180","Macrophage"
"837",837,"SRR11620185","Bcell_PB"
"838",838,"SRR11620205","Bcell_PB"
"839",839,"SRR11620210","Bcell_PB"
"840",840,"SRR11620235","Bcell_PB"
"841",841,"SRR11620260","Bcell_PB"
"842",842,"SRR11620275","Bcell_PB"
"843",843,"SRR11620320","Tcell"
"844",844,"SRR11620325","Bcell_PB"
"845",845,"SRR11620340","Tcell"
"846",846,"SRR11620350","Tcell"
"847",847,"SRR11620355","Bcell_PB"
"848",848,"SRR11620365","Macrophage"
"849",849,"SRR11620385","Macrophage"
"850",850,"SRR11620395","Bcell_Mem"
"851",851,"SRR11620400","Bcell"
"852",852,"SRR11620425","Bcell"
"853",853,"SRR11620430","Macrophage"
"854",854,"SRR11620435","Bcell"
"855",855,"SRR11620440","Tcell"
"856",856,"SRR11620460","Bcell_Mem"
"857",857,"SRR11620465","Mast"
"858",858,"SRR11620475","Bcell_PB"
"859",859,"SRR11620480","Bcell_PB"
"860",860,"SRR11620500","Tcell"
"861",861,"SRR11620510","Tcell"
"862",862,"SRR11620525","Tcell"
"863",863,"SRR11620540","Bcell_PB"
"864",864,"SRR11620550","Tcell"
"865",865,"SRR11620570","Tcell"
